Dimension,Algorithm,Benchmark,Mean,Best,Std
20,DE,high_conditioned_elliptic,12702.818226969011,1639.5894402840852,9639.13075778505
20,GA,high_conditioned_elliptic,3666.3810520658935,1134.3604624599857,3098.7769415730436
20,DE,bent_cigar,101903967.53923126,9624047.531444196,88266634.62628901
20,GA,bent_cigar,37818870.181906976,11645156.46479216,26805206.16149355
20,DE,discus,1622.9517274674831,98.90885174279418,974.3486740253837
20,GA,discus,2412.6398788838424,40.65754477145611,355.24704503857964
20,DE,rosenbrocks,323685.7758331104,8669.976491714398,349325.4403819279
20,GA,rosenbrocks,51153.58869226126,6619.631837835107,93289.18759644059
20,DE,ackleys,8.983657238911084,4.878518494093697,2.1496527377250683
20,GA,ackleys,5.8620225098379475,4.487023489373339,0.8782749183536117
20,DE,weierstrass,-479.84710636159946,-605.4580483486963,33.37242822384511
20,GA,weierstrass,-846.9652770560563,-1325.0059495542994,260.6271968285917
20,DE,griewanks,0.9944601273829289,0.608147732313943,0.06384874561897269
20,GA,griewanks,0.8875842695773902,0.5211995005966522,0.031055636403322012
20,DE,rastrigins,307.84149689475106,153.7950201773381,98.94415715033466
20,GA,rastrigins,84.38704414454631,34.21676467417316,53.934180864239906
